"ap_dict_id","pathway","ap_group","pathway_nodes","pathway_edges","betweenness","degree","noSubgraphs","impact_score"
5921,"00943","≥80%",50,67,0.000850340136054422,5,7,43
5922,"00943","<30%",50,67,0,4,8,43.875
5928,"00943","<30%",50,67,0.00467687074829932,3,8,43.875
5929,"00943","<30%",50,67,0.0076530612244898,4,7,43
5931,"00943","<30%",50,67,0.0127551020408163,7,7,43
5932,"00943","<30%",50,67,0.00340136054421769,5,7,43
5934,"00943","<30%",50,67,0.00297619047619048,5,7,43
5938,"00943","<30%",50,67,0.0153061224489796,5,7,43
5941,"00943","<30%",50,67,0.00212585034013605,5,7,43
5945,"00943","<30%",50,67,0.00212585034013605,5,7,43
5950,"00943","<30%",50,67,0.0153061224489796,2,7,43
5951,"00943","≥80%",50,67,0.00935374149659864,3,8,43.875
5954,"00943","<30%",50,67,0.00510204081632653,2,7,43
5959,"00943","<30%",50,67,0.000850340136054422,3,8,43.875
5960,"00943","<30%",50,67,0.000425170068027211,2,7,43
5961,"00943","<30%",50,67,0,2,7,43
5963,"00943","<30%",50,67,0.0127551020408163,2,7,43
5964,"00943","≥80%",50,67,0.0170068027210884,5,7,43
5966,"00943","<30%",50,67,0.00935374149659864,2,7,43
5968,"00943","<30%",50,67,0.0127551020408163,2,7,43
5974,"00944","<30%",40,69,0.00168690958164642,5,3,27
5975,"00944","<30%",40,69,0.000674763832658569,3,3,27
5978,"00944","<30%",40,69,0.00269905533063428,5,3,27
5979,"00944","<30%",40,69,0,5,3,27
5980,"00944","<30%",40,69,0.00134952766531714,3,4,30.25
5986,"00944","<30%",40,69,0.00472334682860999,6,3,27
5987,"00944","<30%",40,69,0.00269905533063428,6,3,27
5988,"00944","<30%",40,69,0.0300269905533063,9,3,27
5992,"00944","<30%",40,69,0.00337381916329285,3,3,27
5995,"00944","<30%",40,69,0.00404858299595142,3,3,27
5996,"00944","<30%",40,69,0,2,3,27
5999,"00944","<30%",40,69,0.000674763832658569,2,3,27
6002,"00944","<30%",40,69,0.0121457489878543,7,3,27
6023,"00945","<30%",19,36,0.037037037037037,6,2,10
6024,"00945","≥80%",19,36,0.0239651416122004,6,2,10
6037,"00950","<30%",89,199,0,2,6,74.3333333333333
6039,"00950","<30%",89,199,0.0202455590386625,4,6,74.3333333333333
6040,"00950","<30%",89,199,0.00888192267502612,4,6,74.3333333333333
6041,"00950","<30%",89,199,0.0156739811912226,3,6,74.3333333333333
6042,"00950","<30%",89,199,0.0121473354231975,2,6,74.3333333333333
6043,"00950","<30%",89,199,0.00835945663531871,2,6,74.3333333333333
6044,"00950","<30%",89,199,0.00431034482758621,2,6,74.3333333333333
6046,"00950","<30%",89,199,0.00457157784743992,2,6,74.3333333333333
6052,"00950","<30%",89,199,0.056687565308255,5,6,74.3333333333333
6060,"00950","<30%",89,199,0.0222048066875653,4,6,74.3333333333333
6062,"00950","<30%",89,199,0,3,7,76.4285714285714
6063,"00950","<30%",89,199,0.0757575757575758,7,6,74.3333333333333
6070,"00950","<30%",89,199,0.00417972831765935,6,6,74.3333333333333
6078,"00950","<30%",89,199,0.000522466039707419,3,6,74.3333333333333
6079,"00950","<30%",89,199,0.000522466039707419,3,6,74.3333333333333
6080,"00950","<30%",89,199,0.000391849529780564,2,6,74.3333333333333
6084,"00950","<30%",89,199,0.0235109717868339,6,6,74.3333333333333
6092,"00950","<30%",89,199,0,2,6,74.3333333333333
6106,"00950","<30%",89,199,0.00104493207941484,3,6,74.3333333333333
6107,"00950","<30%",89,199,0.00117554858934169,3,6,74.3333333333333
6108,"00950","<30%",89,199,0.00026123301985371,3,6,74.3333333333333
6109,"00950","<30%",89,199,0.0141065830721003,3,6,74.3333333333333
6110,"00950","<30%",89,199,0.00966562173458725,2,6,74.3333333333333
6111,"00950","<30%",89,199,0.00496342737722048,2,6,74.3333333333333
6115,"00950","<30%",89,199,0,2,6,74.3333333333333
6125,"00950","<30%",89,199,0,2,6,74.3333333333333
6126,"00950","<30%",89,199,0,3,6,74.3333333333333
6127,"00960","≥80%",22,24,0.00238095238095238,3,6,18.5
6129,"00960","<30%",22,24,0,2,6,18.5
6131,"00960","<30%",22,24,0.00476190476190476,3,6,18.5
6135,"00960","<30%",22,24,0,2,6,18.5
6157,"00965","≥80%",4,3,0.333333333333333,3,3,3
6181,"00970","≥80%",20,19,0.0087719298245614,2,6,16.8333333333333
6182,"00970","<30%",20,19,0.0116959064327485,3,7,17.2857142857143
6183,"00970","≥80%",20,19,0.0087719298245614,2,6,16.8333333333333
6184,"00970","<30%",20,19,0.0116959064327485,3,7,17.2857142857143
6185,"00970","<30%",20,19,0.00584795321637427,2,6,16.8333333333333
6186,"00970","<30%",20,19,0.00584795321637427,2,6,16.8333333333333
