dictID,org,pathway,name,entrez,is_bottleneck,reaction,reaction_type,betweenness,degree,community,eccentricity,radius,diameter
331,mmu,52,ec:2.7.7.12,mmu:14430,0,rn:R00955,reversible,0.0291005291005291,6,7,4,3,4
343,mmu,52,ec:3.1.3.9,mmu:14377 / mmu:14378 / mmu:68401,0,rn:R01788,reversible,0.00940623162845385,4,6,3,3,4
346,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R01101,irreversible,0.0264550264550265,13,1,4,3,4
347,mmu,52,ec:3.2.1.10,mmu:69983,0,rn:R00801,irreversible,0,1,12,5,3,4
355,mmu,52,ec:2.7.1.6,mmu:14635,0,rn:R01092,irreversible,0,2,1,3,3,4
356,mmu,52,ec:5.1.3.3,mmu:319625,0,rn:R10619,irreversible,0,8,1,3,3,4
367,mmu,53,ec:1.13.99.1,mmu:56727,0,rn:R01184,irreversible,0,18,1,2,1,1
370,mmu,53,ec:1.1.1.22,mmu:22235,0,rn:R00286,irreversible,0,18,1,2,1,1
374,mmu,53,ec:3.1.1.17,mmu:19733,0,rn:R02933,reversible,0,1,2,1,1,1
378,mmu,53,ec:2.4.1.17,mmu:100559 / mmu:100727 / mmu:112417 / mmu:22236 / mmu:22238 / mmu:231396 / mmu:243085 / mmu:394430 / mmu:394432 / mmu:394433 / mmu:394434 / mmu:394435 / mmu:394436 / mmu:552899 / mmu:71773 / mmu:72094 / mmu:94215 / mmu:94284,0,rn:R08615,irreversible,0,2,1,2,1,1
381,mmu,53,ec:1.2.1.3,mmu:110695 / mmu:11669 / mmu:11671 / mmu:56752 / mmu:72535,0,rn:R02957,reversible,NA,NA,NA,NA,NA,NA
397,mmu,53,ec:1.1.3.8,mmu:268756,0,rn:R03184,irreversible,0,1,2,1,1,1
410,mmu,53,ec:1.1.3.8,mmu:268756,0,rn:R00647,irreversible,0,1,2,1,1,1
420,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R08159,irreversible,0.393790849673203,24,1,1,1,3
421,mmu,61,ec:3.1.2.21,mmu:99035,0,rn:R04014,irreversible,0,4,2,2,1,3
423,mmu,61,ec:3.1.2.21,mmu:99035,0,rn:R08158,irreversible,0,4,2,2,1,3
424,mmu,61,ec:3.1.2.21,mmu:99035,0,rn:R08157,irreversible,0,4,2,2,1,3
435,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R07762,irreversible,0.0378540305010893,11,1,2,1,3
440,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R04968,irreversible,0.0378540305010893,11,1,2,1,3
441,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R04726,irreversible,0.0378540305010893,11,1,2,1,3
442,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R04963,irreversible,0.0378540305010893,11,1,2,1,3
443,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R04960,irreversible,0.0378540305010893,11,1,2,1,3
444,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R04957,irreversible,0.0378540305010893,11,1,2,1,3
445,mmu,61,ec:2.3.1.179,mmu:71147,0,rn:R04952,irreversible,0.0378540305010893,11,1,2,1,3
447,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R01706,irreversible,0.393790849673203,24,1,1,1,3
450,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04970,reversible,0.393790849673203,24,1,1,1,3
452,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04544,reversible,0.393790849673203,24,1,1,1,3
455,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04543,reversible,0.393790849673203,24,1,1,1,3
458,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04968,irreversible,0.393790849673203,24,1,1,1,3
461,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04967,reversible,0.393790849673203,24,1,1,1,3
463,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04568,reversible,0.393790849673203,24,1,1,1,3
466,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04566,reversible,0.393790849673203,24,1,1,1,3
