"","X","entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification","lethal_nonlethal","entrezgene_accession"
"60",60,51,"ec:2.7.1.11","gene","rn:R04779",176,493,"rectangle",46,17,"#BFFFBF","sce:YGR240C / sce:YMR205C",105,"irreversible","sce",30,0,1,0.00100810870041639,3,12,0.8,0.00444444444444444,1,0.386169151750373,4,3,4,6,0.306565686851106,0.164750782379284,"NHNB","nonlethal",""
"61",61,52,"ec:3.1.3.11","gene","rn:R04780",140,469,"rectangle",46,17,"#BFFFBF","sce:YLR377C",106,"irreversible","sce",30,0,1,0.00100810870041639,3,12,0.8,0.00444444444444444,1,0.386169151750373,4,3,4,6,0.306565686851106,0.164750782379284,"NHNB","nonlethal",""
"62",62,53,"ec:5.3.1.9","gene","rn:R02740",202,416,"rectangle",46,17,"#BFFFBF","sce:YBR196C",107,"reversible","sce",30,0,1,0.0511943896559281,3,16,0.571428571428571,0.0045662100456621,1,0.603176929003694,3,3,4,8,0.302921628490012,0.12397939308151,"NHNB","nonlethal",""
"63",63,56,"ec:1.1.1.44","gene","rn:R01528",504,363,"rectangle",46,17,"#BFFFBF","sce:YGR256W / sce:YHR183W",110,"irreversible","sce",30,0,1,0.0499013806706114,5,5,0.238095238095238,0.00175746924428822,2,0.779393336662009,3,3,4,11,0.127795534244829,0.00463544548446673,"HNB","nonlethal",""
"64",64,57,"ec:3.1.1.31","gene","rn:R02035",451,320,"rectangle",46,17,"#BFFFBF","sce:YCR073W-A / sce:YGR248W / sce:YHR163W / sce:YNR034W",111,"irreversible","sce",30,0,1,0.00598290598290598,4,2,0.333333333333333,0.00175438596491228,2,0.590472333310313,4,3,4,7,0.00121730562142654,0.0494123422127646,"NHNB","nonlethal",""
"65",65,58,"ec:1.1.1.49","gene","rn:R02736",280,310,"rectangle",46,17,"#BFFFBF","sce:YNL241C",112,"irreversible","sce",30,0,1,0.0466359850975236,4,0,0,0.00175438596491228,2,0.756264036426338,3,3,4,9,0.0390611272534788,0.000752386069956737,"NHNB","nonlethal",""
"66",66,62,"ec:2.7.1.12","gene","rn:R01737",534,241,"rectangle",46,17,"#BFFFBF","sce:YDR248C",116,"irreversible","sce",30,0,1,0,0,8,0.533333333333333,0.00132275132275132,2,1,4,3,4,6,0.0251300242913169,0,"NHNB","nonlethal",""
"67",67,77,"ec:2.2.1.2","gene","rn:R01827",364,526,"rectangle",46,17,"#BFFFBF","sce:YGR043C / sce:YLR354C",125,"reversible","sce",30,0,1,0.0327635327635328,2,16,0.761904761904762,0.00452488687782805,1,0.835500945886086,4,3,4,9,0.381648613302538,0.264203333200471,"NHNB","nonlethal",""
"68",68,78,"ec:5.4.2.2","gene","rn:R01057",628,562,"rectangle",46,17,"#BFFFBF","sce:YKL127W / sce:YMR105C / sce:YMR278W",126,"reversible","sce",30,0,1,0,0,25,0.694444444444444,0.00132275132275132,1,0.386169151750373,3,3,4,9,1,7.99942067413302e-17,"NHNB","nonlethal",""
"69",69,156,"ec:1.1.1.343","gene","rn:R10221",554,363,"rectangle",46,17,"#BFFFBF","sce:YGR256W / sce:YHR183W",147,"irreversible","sce",30,0,1,0.0499013806706114,5,5,0.238095238095238,0.00175746924428822,2,0.779393336662009,3,3,4,11,0.127795534244829,0.00463544548446673,"HNB","nonlethal",""
