"","node1","node2","org","pathway","EC"
"260","hsa:55902","hsa:222","hsa","00010","6.2.1.1"
"261","hsa:55902","hsa:1737","hsa","00010","6.2.1.1"
"262","hsa:84532","hsa:217","hsa","00010","6.2.1.1"
"263","hsa:84532","hsa:219","hsa","00010","6.2.1.1"
"264","hsa:84532","hsa:223","hsa","00010","6.2.1.1"
"265","hsa:84532","hsa:224","hsa","00010","6.2.1.1"
"266","hsa:84532","hsa:501","hsa","00010","6.2.1.1"
"267","hsa:84532","hsa:218","hsa","00010","6.2.1.1"
"268","hsa:84532","hsa:220","hsa","00010","6.2.1.1"
"269","hsa:84532","hsa:221","hsa","00010","2.7.1.147"
"270","hsa:84532","hsa:222","hsa","00010","2.7.1.147"
"271","hsa:84532","hsa:1737","hsa","00010","2.7.1.147"
"272","hsa:83440","hsa:2821","hsa","00010","3.1.3.62 / 3.1.3.80"
"273","hsa:83440","hsa:5236","hsa","00010","3.1.3.62 / 3.1.3.80"
"274","hsa:83440","hsa:55276","hsa","00010","3.1.3.62 / 3.1.3.80"
"275","hsa:9562","hsa:2023","hsa","00010","3.1.3.62 / 3.1.3.80"
"276","hsa:9562","hsa:2026","hsa","00010","1.8.1.4"
"277","hsa:9562","hsa:2027","hsa","00010","1.8.1.4"
"278","hsa:9562","hsa:387712","hsa","00010","1.8.1.4"
"279","hsa:1738","hsa:4967","hsa","00020","1.8.1.4"
"280","hsa:1738","hsa:55753","hsa","00020","1.8.1.4"
"281","hsa:1738","hsa:5160","hsa","00020","1.8.1.4"
"282","hsa:1738","hsa:5161","hsa","00020","1.2.4.2"
"283","hsa:1738","hsa:5162","hsa","00020","1.2.4.2"
"284","hsa:1738","hsa:1737","hsa","00020","1.2.4.2"
"285","hsa:4967","hsa:3419","hsa","00020","1.2.4.2"
"286","hsa:4967","hsa:3420","hsa","00020","1.2.4.2"
"287","hsa:4967","hsa:3421","hsa","00020","1.2.4.2"
"288","hsa:4967","hsa:3417","hsa","00020","1.2.4.2"
"289","hsa:4967","hsa:3418","hsa","00020","1.2.4.2"
"290","hsa:55753","hsa:3419","hsa","00020","1.2.4.2"
"291","hsa:55753","hsa:3420","hsa","00020","1.2.4.2"
"292","hsa:55753","hsa:3421","hsa","00020","2.3.1.61"
"293","hsa:55753","hsa:3417","hsa","00020","2.3.1.61"
"294","hsa:55753","hsa:3418","hsa","00020","2.3.1.61"
"295","hsa:1743","hsa:4967","hsa","00020","6.2.1.4 / 6.2.1.5"
"296","hsa:1743","hsa:55753","hsa","00020","6.2.1.4 / 6.2.1.5"
"297","hsa:1743","hsa:1738","hsa","00020","6.2.1.4 / 6.2.1.5"
"298","hsa:8801","hsa:1743","hsa","00020","1.1.1.42"
"299","hsa:8802","hsa:1743","hsa","00020","1.1.1.42"
"300","hsa:8803","hsa:1743","hsa","00020","1.1.1.42"
"301","hsa:3417","hsa:3419","hsa","00020","1.1.1.42"
"302","hsa:3417","hsa:3420","hsa","00020","1.1.1.42"
"303","hsa:3417","hsa:3421","hsa","00020","1.1.1.41"
"304","hsa:3418","hsa:3419","hsa","00020","1.1.1.41"
"305","hsa:3418","hsa:3420","hsa","00020","1.1.1.41"
"306","hsa:3418","hsa:3421","hsa","00020","1.1.1.41"
"307","hsa:3419","hsa:3417","hsa","00020","1.1.1.41"
"308","hsa:3419","hsa:3418","hsa","00020","1.1.1.41"
"309","hsa:3420","hsa:3417","hsa","00020","2.3.3.8"
"310","hsa:3420","hsa:3418","hsa","00020","2.3.3.8"
"311","hsa:3421","hsa:3417","hsa","00020","2.3.3.8"
"312","hsa:3421","hsa:3418","hsa","00020","2.3.3.8"
"313","hsa:47","hsa:5091","hsa","00020","2.3.3.8"
"314","hsa:47","hsa:5105","hsa","00020","4.2.1.2"
"315","hsa:47","hsa:5106","hsa","00020","4.2.1.2"
"316","hsa:47","hsa:48","hsa","00020","4.2.1.2"
"317","hsa:47","hsa:50","hsa","00020","4.2.1.2"
"318","hsa:2271","hsa:6389","hsa","00020","4.2.1.3"
"319","hsa:2271","hsa:6390","hsa","00020","4.2.1.3"
"320","hsa:2271","hsa:6391","hsa","00020","4.2.1.3"
"321","hsa:2271","hsa:6392","hsa","00020","4.2.1.3"
"322","hsa:48","hsa:3417","hsa","00020","4.2.1.3"
"323","hsa:48","hsa:3418","hsa","00020","4.2.1.3"
"324","hsa:48","hsa:3419","hsa","00020","4.2.1.3"
"325","hsa:48","hsa:3420","hsa","00020","4.2.1.3"
"326","hsa:48","hsa:3421","hsa","00020","4.2.1.3"
"327","hsa:50","hsa:3417","hsa","00020","4.2.1.3"
