"org","ensemblID","entrezGeneID","entrezGeneAccession"
"hsa","ENSG00000024862",25901,"CCDC28A"
"hsa","ENSG00000025039",58528,"RRAGD"
"hsa","ENSG00000025156",3298,"HSF2"
"hsa","ENSG00000025293",51230,"PHF20"
"hsa","ENSG00000025423",8630,"HSD17B6"
"hsa","ENSG00000025434",10062,"NR1H3"
"hsa","ENSG00000025708",1890,"TYMP"
"hsa","ENSG00000025770",29781,"NCAPH2"
"hsa","ENSG00000025772",10953,"TOMM34"
"hsa","ENSG00000025796",11231,"SEC63"
"hsa","ENSG00000025800",23633,"KPNA6"
"hsa","ENSG00000026025",7431,"VIM"
"hsa","ENSG00000026103",355,"FAS"
"hsa","ENSG00000026297",8635,"RNASET2"
"hsa","ENSG00000026508",960,"CD44"
"hsa","ENSG00000026559",3755,"KCNG1"
"hsa","ENSG00000026652",56895,"AGPAT4"
"hsa","ENSG00000026751",57823,"SLAMF7"
"hsa","ENSG00000026950",11119,"BTN3A1"
"hsa","ENSG00000027001",4285,"MIPEP"
"hsa","ENSG00000027075",5583,"PRKCH"
"hsa","ENSG00000027644",3645,"INSRR"
"hsa","ENSG00000027697",3459,"IFNGR1"
"hsa","ENSG00000027847",11285,"B4GALT7"
"hsa","ENSG00000027869",9047,"SH2D2A"
"hsa","ENSG00000028116",7444,"VRK2"
"hsa","ENSG00000028137",7133,"TNFRSF1B"
"hsa","ENSG00000028203",55591,"VEZT"
"hsa","ENSG00000028277",5452,"POU2F2"
"hsa","ENSG00000028310",65980,"BRD9"
"hsa","ENSG00000028528",6642,"SNX1"
"hsa","ENSG00000028839",9519,"TBPL1"
"hsa","ENSG00000029153",56938,"ARNTL2"
"hsa","ENSG00000029363",9774,"BCLAF1"
"hsa","ENSG00000029364",55334,"SLC39A9"
"hsa","ENSG00000029534",286,"ANK1"
"hsa","ENSG00000029559",3381,"IBSP"
"hsa","ENSG00000029639",51106,"TFB1M"
"hsa","ENSG00000029725",9135,"RABEP1"
"hsa","ENSG00000029993",3149,"HMGB3"
"hsa","ENSG00000030066",23279,"NUP160"
"hsa","ENSG00000030110",578,"BAK1"
"hsa","ENSG00000030304",4593,"MUSK"
"hsa","ENSG00000030419",22807,"IKZF2"
"hsa","ENSG00000030582",2896,"GRN"
"hsa","ENSG00000031003",51306,"FAM13B"
"hsa","ENSG00000031081",57514,"ARHGAP31"
"hsa","ENSG00000031691",55166,"CENPQ"
"hsa","ENSG00000031698",6301,"SARS1"
"hsa","ENSG00000031823",8498,"RANBP3"
"hsa","ENSG00000032219",5926,"ARID4A"
"hsa","ENSG00000032389",7260,"EIPR1"
"hsa","ENSG00000032444",10908,"PNPLA6"
"hsa","ENSG00000032742",8100,"IFT88"
"hsa","ENSG00000033011",56052,"ALG1"
"hsa","ENSG00000033030",55596,"ZCCHC8"
"hsa","ENSG00000033050",10061,"ABCF2"
"hsa","ENSG00000033100",54480,"CHPF2"
"hsa","ENSG00000033122",57554,"LRRC7"
"hsa","ENSG00000033170",2530,"FUT8"
"hsa","ENSG00000033178",55236,"UBA6"
"hsa","ENSG00000033327",9846,"GAB2"
"hsa","ENSG00000033627",535,"ATP6V0A1"
"hsa","ENSG00000033800",8554,"PIAS1"
"hsa","ENSG00000033867",9497,"SLC4A7"
"hsa","ENSG00000034053",321,"APBA2"
"hsa","ENSG00000034152",5606,"MAP2K3"
"hsa","ENSG00000034239",79645,"EFCAB1"
"hsa","ENSG00000034510",9168,"TMSB10"
"hsa","ENSG00000034533",28990,"ASTE1"
"hsa","ENSG00000034677",25897,"RNF19A"
"hsa","ENSG00000034693",8504,"PEX3"
"hsa","ENSG00000034713",11345,"GABARAPL2"
"hsa","ENSG00000034971",4653,"MYOC"
"hsa","ENSG00000035115",26751,"SH3YL1"
"hsa","ENSG00000035141",84908,"FAM136A"
"hsa","ENSG00000035403",7414,"VCL"
"hsa","ENSG00000035499",55789,"DEPDC1B"
"hsa","ENSG00000035664",23604,"DAPK2"
"hsa","ENSG00000035681",8439,"NSMAF"
"hsa","ENSG00000035687",159,"ADSS2"
"hsa","ENSG00000035720",26228,"STAP1"
"hsa","ENSG00000035862",7077,"TIMP2"
"hsa","ENSG00000035928",5981,"RFC1"
"hsa","ENSG00000036054",55773,"TBC1D23"
"hsa","ENSG00000036257",8452,"CUL3"
"hsa","ENSG00000036448",9172,"MYOM2"
"hsa","ENSG00000036473",5009,"OTC"
"hsa","ENSG00000036530",10858,"CYP46A1"
"hsa","ENSG00000036549",26009,"ZZZ3"
"hsa","ENSG00000036565",6570,"SLC18A1"
"hsa","ENSG00000036672",9099,"USP2"
"hsa","ENSG00000036828",846,"CASR"
"hsa","ENSG00000037042",27175,"TUBG2"
"hsa","ENSG00000037241",51121,"RPL26L1"
"hsa","ENSG00000037280",2324,"FLT4"
"hsa","ENSG00000037474",54888,"NSUN2"
"hsa","ENSG00000037637",54455,"FBXO42"
"hsa","ENSG00000037749",4238,"MFAP3"
"hsa","ENSG00000037757",84245,"MRI1"
"hsa","ENSG00000037897",4234,"METTL1"
"hsa","ENSG00000037965",3224,"HOXC8"
"hsa","ENSG00000038002",175,"AGA"
"hsa","ENSG00000038210",55300,"PI4K2B"
"hsa","ENSG00000038219",259282,"BOD1L1"
"hsa","ENSG00000038274",27430,"MAT2B"
"hsa","ENSG00000038295",7092,"TLL1"
"hsa","ENSG00000038358",23644,"EDC4"
"hsa","ENSG00000038382",7204,"TRIO"
"hsa","ENSG00000038427",1462,"VCAN"
"hsa","ENSG00000038532",23274,"CLEC16A"
"hsa","ENSG00000038945",4481,"MSR1"
"hsa","ENSG00000039068",999,"CDH1"
"hsa","ENSG00000039123",23517,"MTREX"
"hsa","ENSG00000039139",1767,"DNAH5"
"hsa","ENSG00000039319",9765,"ZFYVE16"
"hsa","ENSG00000039523",79567,"RIPOR1"
"hsa","ENSG00000039537",729,"C6"
"hsa","ENSG00000039560",26064,"RAI14"
"hsa","ENSG00000039600",11063,"SOX30"
"hsa","ENSG00000039650",11284,"PNKP"
"hsa","ENSG00000039987",54831,"BEST2"
